Date,Sales Value,Type of Sales
01/03/12,25151525.84,Existing
01/04/12,24406048.39,Existing
01/05/12,28249539.01,Existing
01/06/12,28691364.32,Existing
01/07/12,28535707.45,Existing
01/08/12,25793520.64,Existing
01/09/12,21915641.66,Existing
01/10/12,21203562.52,Existing
01/11/12,21736158.96,Existing
01/12/12,21962976.75,Existing
01/01/13,20322683.64,Existing
01/02/13,19829620.75,Existing
01/03/13,22717069.85,Existing
01/04/13,21625385.04,Existing
01/05/13,23000152.4,Existing
01/06/13,24755406.2,Existing
01/07/13,26803105.56,Existing
01/08/13,22600217.01,Existing
01/09/13,21401265.74,Existing
01/10/13,19296578.09,Existing
01/11/13,20489773.49,Existing
01/12/13,21715706.67,Existing
01/01/14,22544458.38,Existing
01/02/14,21262413.12,Existing
01/03/14,23247168.62,Existing
01/04/14,22541987.92,Existing
01/05/14,25943046.75,Existing
01/06/14,24782178.43,Existing
01/07/14,24263117.59,Existing
01/08/14,21879988.86,Existing
01/09/14,18407263.58,Existing
01/10/14,19497571.95,Existing
01/11/14,19444753.17,Existing
01/12/14,19240384.75,Existing
01/01/15,20088529.29,Existing
01/02/15,19772333.34,Existing
01/03/15,24608406.71,Existing
01/04/15,21559729.45,Existing
01/05/15,25792074.59,Existing
01/06/15,27212464.15,Existing
01/07/15,26338477.15,Existing
01/08/15,23130626.6,Existing
01/09/15,20774415.93,Existing
01/10/15,20359980.58,Existing
01/11/15,21936906.81,Existing
01/12/15,20462899.3,Existing
01/01/16,21539936.01,Forecast Existing
01/02/16,20413770.6,Forecast Existing
01/03/16,24325953.1,Forecast Existing
01/04/16,22993466.35,Forecast Existing
01/05/16,26691951.42,Forecast Existing
01/06/16,26989964.01,Forecast Existing
01/07/16,26948630.76,Forecast Existing
01/08/16,24091579.35,Forecast Existing
01/09/16,20523492.41,Forecast Existing
01/10/16,20011748.67,Forecast Existing
01/11/16,21177435.49,Forecast Existing
01/12/16,20855799.11,Forecast Existing
01/01/16,2587450.85,Forecast New
01/02/16,2477352.89,Forecast New
01/03/16,2913185.24,Forecast New
01/04/16,2775745.61,Forecast New
01/05/16,3150866.84,Forecast New
01/06/16,3188922,Forecast New
01/07/16,3214745.65,Forecast New
01/08/16,2866348.66,Forecast New
01/09/16,2538726.85,Forecast New
01/10/16,2488148.29,Forecast New
01/11/16,2595270.39,Forecast New
01/12/16,2573396.63,Forecast New
